QiskitBot|Discord Bot that leverages the idea of nested containers using podman, runs untrusted user input, executes Quantum Circuits, allows users to refer to the Qiskit Documentation, and provides the ability to search questions on the Quantum Computing StackExchange. |infiniteregrets|24|24|Python|https://github.com/infiniteregrets/QiskitBot|1.0|MIT License
RasQberry|The RasQberry project: Exploring Quantum Computing and Qiskit with a Raspberry Pi and a 3D Printer|JanLahmann|132|132|Shell|https://github.com/JanLahmann/RasQberry|1.0|Apache License 2.0
QSVTinQiskit-2021-Europe-Hackathon-Winning-Project-|Search with Quantum Singular Value Transformation in Qiskit|bartubisgin|47|47|Jupyter Notebook|https://github.com/bartubisgin/QSVTinQiskit-2021-Europe-Hackathon-Winning-Project-|1.0|MIT License
qiskit-fall-fest-algiers|The qBraid platform instruction + challenge for Qiskit Fall Fest in Algeria|qBraid|5|5|Jupyter Notebook|https://github.com/qBraid/qiskit-fall-fest-algiers|1.0|MIT License
qiskit-handson||quantum-tokyo|12|12|Jupyter Notebook|https://github.com/quantum-tokyo/qiskit-handson|1.0|NO LICENSE
MPS-in-Qiskit|Preparing Matrix Product State in Qiskit|henrik-dreyer|22|22|Python|https://github.com/henrik-dreyer/MPS-in-Qiskit|1.0|MIT License
application-guide|Everything you need to know about creating a strong application for the Qiskit Advocates program, all in one place!|qiskit-advocate|205|205||https://github.com/qiskit-advocate/application-guide|1.0|NO LICENSE
qiskit-forest|Forest backend for Qiskit|quantastica|9|9|Python|https://github.com/quantastica/qiskit-forest|1.0|Apache License 2.0
Quantum-Computing-UK-Repository|This repository contains all of the code found in the quantum computing tutorials at : https://quantumcomputinguk.org.|mcoggins96|93|93|Python|https://github.com/mcoggins96/Quantum-Computing-UK-Repository|1.0|Creative Commons Zero v1.0 Universal
qiskit-qir|Qiskit to QIR translator|microsoft|17|17|Python|https://github.com/microsoft/qiskit-qir|1.0|MIT License
Qiskit-Hackathon-Guide|Unofficial guide for organizing a Qiskit Hackathon|HuangJunye|27|27||https://github.com/HuangJunye/Qiskit-Hackathon-Guide|1.0|NO LICENSE
qiskit-qasm3-import|Importer from OpenQASM 3 to Qiskit's QuantumCircuit|Qiskit|15|15|Python|https://github.com/Qiskit/qiskit-qasm3-import|1.0|Apache License 2.0
prototype-zne|Zero Noise Extrapolation (ZNE) prototype for error mitigation on the Qiskit Estimator primitive|qiskit-community|30|30|Python|https://github.com/qiskit-community/prototype-zne|1.0|Apache License 2.0
qonwaygameoflife|Qiskit Camp - Hackaton Madrid 2019 - Quantum Game of Life|qonwaygameoflife|30|30|Python|https://github.com/qonwaygameoflife/qonwaygameoflife|1.0|Apache License 2.0
learning-qiskit|Repository linked with GitBook for learning Qiskit|JavaFXpert|10|10||https://github.com/JavaFXpert/learning-qiskit|1.0|Apache License 2.0
qiskit-hackathon-bilbao-19|Main repository for the Quantum Hackathon in Bilbao|qiskit-community|10|10||https://github.com/qiskit-community/qiskit-hackathon-bilbao-19|1.0|NO LICENSE
qiskit-camp-europe-19||qiskit-community|19|19||https://github.com/qiskit-community/qiskit-camp-europe-19|1.0|NO LICENSE
qiskit-rigetti|Qiskit provider serving Rigetti hardware & simulator backends.|rigetti|7|7|Python|https://github.com/rigetti/qiskit-rigetti|1.0|Apache License 2.0
QPowerAlgo|Bringing all Quantum Algorithms under one Roof ⚡|QPower-Research|16|16|Jupyter Notebook|https://github.com/QPower-Research/QPowerAlgo|1.0|MIT License
qcbq|Quantum computing bootcamp with Qiskit|rmlarose|12|12|Jupyter Notebook|https://github.com/rmlarose/qcbq|1.0|NO LICENSE
qiskit.camp|Qiskit.camp 19 - Bringing together the Qiskit community|qiskit-community|8|8|CSS|https://github.com/qiskit-community/qiskit.camp|1.0|NO LICENSE
Qiskit-Hackathon-at-World-of-QUANTUM||qiskit-community|6|6|Jupyter Notebook|https://github.com/qiskit-community/Qiskit-Hackathon-at-World-of-QUANTUM|1.0|NO LICENSE
qiskit-on-iqm|Qiskit adapter for IQM's quantum computers|iqm-finland|17|17|Python|https://github.com/iqm-finland/qiskit-on-iqm|1.0|Apache License 2.0
Qiskit-PyConDE||quantumjim|11|11|Jupyter Notebook|https://github.com/quantumjim/Qiskit-PyConDE|1.0|Apache License 2.0
ibm-qiskit-global-summer-school-2023|⚛️ 👨‍🏫 📚 A two-week intensive Summer School on Quantum Computing from IBM Quantum, using mostly the features of the IBM's Qiskit library. In this Summer School, were lectured topics on basics of Quantum Information, Quantum Entanglement, Quantum Algorithms, Quantum Error Mitigation, among many others.|rubenandrebarreiro|19|19|Jupyter Notebook|https://github.com/rubenandrebarreiro/ibm-qiskit-global-summer-school-2023|1.0|MIT License
awesome-qiskit|Awesome Qiskit is a list of projects, tools, utilities, libraries and tutorials from a broad community of developers and researchers.|qiskit-community|18|18|Python|https://github.com/qiskit-community/awesome-qiskit|1.0|Apache License 2.0
Qiskit_certificate_prep|Repo for the Qiskit certificate by IBM.|arthurfaria|24|24|Jupyter Notebook|https://github.com/arthurfaria/Qiskit_certificate_prep|1.0|MIT License
QiskitUnityAsset|Qiskit Unity Asset|asierarranz|6|6|C#|https://github.com/asierarranz/QiskitUnityAsset|1.0|Apache License 2.0
qrnn-qiskit-ml|Example of RNN based on Qiskit Machine Learning |rdisipio|9|9|Python|https://github.com/rdisipio/qrnn-qiskit-ml|1.0|MIT License
Qiskit-HubbardModel|Code containing notes for the derivation of mapping a Hubbard system to a quantum computing environment and an example of time evolution of a 1d chain containing 3 sites.|kaelynj|9|9|Jupyter Notebook|https://github.com/kaelynj/Qiskit-HubbardModel|1.0|NO LICENSE
quantum_decomp|Converts unitary matrix to Qiskit/Cirq/Q# cirquit|fedimser|26|26|Python|https://github.com/fedimser/quantum_decomp|1.0|MIT License
quantumcomputingbook|Companion site for the textbook Quantum Computing: An Applied Approach|JackHidary|778|778|Jupyter Notebook|https://github.com/JackHidary/quantumcomputingbook|1.0|NO LICENSE
qiskit-getting-started|Getting started with Qiskit|ionq-samples|13|13|Jupyter Notebook|https://github.com/ionq-samples/qiskit-getting-started|1.0|MIT License
qiskit_tutorial|Simple tutorial to get familiar with how to program quantum computers using Qiskit|stefan-woerner|9|9|Jupyter Notebook|https://github.com/stefan-woerner/qiskit_tutorial|1.0|NO LICENSE
qreative|Tools for creative projects using Qiskit|quantumjim|18|18|Jupyter Notebook|https://github.com/quantumjim/qreative|1.0|Apache License 2.0
Learn-Quantum-Computing-with-Qiskit|Learn Qiskit with Qiskit Textbook|MonitSharma|6|6|Jupyter Notebook|https://github.com/MonitSharma/Learn-Quantum-Computing-with-Qiskit|1.0|NO LICENSE
Qiskit-Fall-Fest-2022|QiskitFallFest2022-Thapar University|developer-student-club-thapar|3|3|Jupyter Notebook|https://github.com/developer-student-club-thapar/Qiskit-Fall-Fest-2022|1.0|NO LICENSE
qiskit-vue|Qiskit components library for Vue.|qiskit-community|5|5|HTML|https://github.com/qiskit-community/qiskit-vue|1.0|NO LICENSE
QiskitTutorial|Basic Qiskit Tutorials prepared for the RWTH block course on quantum computing|kuehnste|4|4|Jupyter Notebook|https://github.com/kuehnste/QiskitTutorial|1.0|NO LICENSE
QiskitOpt.jl|JuMP wrapper for IBMQ Optimization Algorithms (ft QUBODrivers.jl)|psrenergy|9|9|Julia|https://github.com/psrenergy/QiskitOpt.jl|1.0|MIT License
